商品条码,商品名称,规格,序号
6920339021481,宏源果汁硬糖巧克力橙味+百香果味288g,24,1
6920339021474,宏源果汁硬糖沙田柚味+百香果味288g,24,2
6920339017880,宏源陈皮糖288g,30,3
6920339019860,宏源话梅糖288g,30,4
6972318512725,津华谷色苦荞片葱香味400g,10,5
6972318510073,津华谷色苦荞片西冷牛排味400g,10,6
6924790600711,爱尚咪咪虾味360g,24,7
6924790600209,爱尚咪咪蟹味360g,24,8
6914782131484,徐福记新年糖308g,20,9
6955304523578,山楂宝贝六物山楂丸130g,36,10
6955304520140,山楂宝贝山楂球150g,36,11
6955304521345,山楂宝贝山楂果180g,20,12
6955304521581,山楂宝贝陈皮山楂球130g,36,13
6955304520119,山楂宝贝山楂卷180g,36,14
6955304520102,山楂宝贝山楂条180g,36,15
6955304520188,山楂宝贝山楂片150g,36,16
6955304520256,山楂宝贝山楂片300g,20,17
6955304520133,山楂宝贝山楂条360g,20,18
6955304520287,山楂宝贝果丹皮360g,20,19
6955304520225,山楂宝贝山楂糕300g,20,20
6974093810041,鲜到无蔗糖全麦吐司500g,10,21
6974093811727,鲜到红豆吐司500g,10,22
6978620700676,凯利来阿克苏红枣蛋糕350g,16,23
6974114512541,凯利来黄油面包320g,16,24
6926273300026,美吉果天日盐味小圆饼100g,30,25
6926273300019,美吉果南乳味小圆饼100g,30,26
6940188803588,甘源原味青豆75克,50,27
6940188804066,甘源蒜香青豆75克,50,28
6940188803595,甘源蟹黄蚕豆75克,50,29
6940188803618,甘源蟹黄瓜子75克,50,30
6920339019518,宏源258克葡萄味仔仔棒糖,30,31
6920339019501,宏源258克草莓味仔仔棒糖,30,32
6940188801522,甘源原味青豆138克,30,33
6940188802468,甘源蒜香味青豌豆138克,30,34
6940188803755,甘源蟹黄瓜子138克,30,35
6940188803748,甘源蟹黄味蚕豆138克,30,36
6955304522793,山楂宝贝蓝莓山楂棒80g,30,37
6955304522809,山楂宝贝桑葚山楂棒80g,30,38
6955304522786,山楂宝贝原味山楂棒80g,30,39
6940188804677,甘源蟹黄瓜子285克,20,40
6940188801034,甘源原味青豌豆285克,20,41
6940188805186,甘源285克蒜香青豌豆,20,42
6940188801515,甘源蟹黄蚕豆285克,20,43
6943986069729,金箭240克酸甜梅肉,40,44
6943986086085,金箭味觉韩式乌酸梅180g,40,45
6943986069668,金箭味觉韩式半梅180克,40,46
6943986069682,金箭味觉韩式话梅120克,40,47
6943986010479,金箭牛肉粒台式五香味100g,24,48
6943986010004,金箭牛肉粒台式香辣味100g,24,49
6943986074525,金箭80克牛肉粒五香味,30,50
6943986074501,金箭牛肉粒沙嗲味80g,30,51
6943986074518,金箭牛肉粒香辣味80g,30,52
6943986083282,金箭80克鱼皮烧烤味,24,53
6943986083268,金箭80克鱼皮香辣味,24,54
6943986083275,金箭80克鱼皮香辣味,24,55
6943986075980,金箭奶酪魔方308克牛奶味,24,56
6937638107525,思宏蓝莓味山楂棒128克,30,57
6937638107495,思宏原味山楂棒128克,30,58
6973057431971,光明纯至布朗尼脆片巧克力味60g,36,59
6973057431988,光明纯至布朗尼脆片生椰拿铁味60g,36,60
6974114513081,凯利来蜜麻花蜜糖味400g,12,61
6974114513074,凯利来山药麻花400g,12,62
6974114513098,凯利来酥麻花椒盐味400g,12,63
6926768534882,美丹不添加蔗糖白苏打饼干鲜葱味450g,12,64
6926768534875,美丹不添加蔗糖白苏打饼干芝麻味450g,12,65
6956927100924,翔誉木糖醇油栗仁200g,24,66
6956927100993,翔誉油栗仁200g,24,67
6978620700645,凯利来净简蛋酥沙琪玛450g,12,68
6978620700652,凯利来妙可蓝多联名黄油沙琪玛410g,12,69
6914782225626,徐福记宫廷酥心糖420g,8,70
6914782234703,徐福记酥心糖混合口味桶装橙色款520g,12,71
6914782131453,徐福记新年糖420g,12,72
6914782217980,徐福记新年糖礼盒420g,8,73
6914782131378,徐福记酥心糖306g,20,74
6914782131385,徐福记拉丝牛轧糖210g,20,75
6914782126749,徐福记花生酥250g,20,76
6937638108577,思宏黑芝麻糯枣200克,20,77
6937638106672,思宏黑芝麻丸200g,20,78
6955773918592,凯利来无添加蔗糖沙琪玛458g,10,79
6974114513067,凯利来无添加蔗糖沙琪玛山药味408g,16,80
6974114510530,凯利来坚果沙琪玛黑糖味408g,16,81
6976357040393,丽云沙琪玛600g,10,82
6976357040294,丽云每日坚果沙琪玛360g,16,83
6937638102124,思宏香酥灰枣252g,25,84
6937638105095,思宏新疆灰枣500g,18,85
6937638101455,思宏枣夹核桃仁252g,15,86
6959269901204,柏味园干烙蛋堡奶香味360g,20,87
6959269901211,柏味园干烙蛋堡蛋香味360g,20,88
6928137560096,北方绿人450克动物饼干,15,89
6932842013037,北方绿人早餐饼干420g,18,90
6928137569174,北方绿人猴菇早餐饼干420g,18,91
6928137569365,北方绿人爆米花焦糖味450克,10,92
6928137569372,北方绿人爆米花奶油味450克,10,93
6971306583518,马大姐北京酥300g,20,94
6971306583525,马大姐老北京大虾酥糖300g,30,95
6971306583501,马大姐花生牛轧糖227g,36,96
6940935201407,腾飞荣达甘草杏180g,20,97
6940935200264,腾飞荣达甘草野杏肉180g,20,98
6953614291637,明西龙岩花生白玉咸干500g,20,99
6953614290517,明西龙岩花生气蒸蒜蓉味500g,20,100
6953614252102,龙岩湿烤花生500克,20,101
6927849460595,好巴食豆干五香95G,30,102
6927849460571,好巴食豆干麻辣95G,30,103
6927849460601,好巴食豆干烧烤95G,30,104
6927849460588,好巴食豆干泡椒味95G,30,105
6927849464982,好巴食经典豆干超值混装实惠包302g,10,106
6927849413249,好巴食乐香麦320g,10,107
6927849413225,好巴食乐香米320g,10,108
6927849413263,好巴食青稞麦320g,10,109
6927849413287,好巴食小米通320g,10,110
6972318510905,津华谷色丑锅巴川香麻辣味400g,12,111
6972318513784,津华谷色丑锅巴酱汁牛排味400g,12,112
6914782214767,徐福记沙琪玛香酥蛋黄味469g,12,113
6914782203617,徐福记沙琪玛香酥鸡蛋味469g,12,114
6914782082434,徐福记鸡蛋香酥沙琪玛160g促销装,20,115
6914782209046,徐福记沙琪玛蛋酥味416g,12,116
6914782223462,雀巢美禄夹心饼干经典巧克力味108g,12,117
6914782225794,雀巢美禄夹心饼干浓香牛奶味108g,12,118
6914782203334,徐福记草莓酥182g,20,119
6914782203327,徐福记凤梨酥182g,20,120
6914782214712,徐福记凤梨酥减糖184g,20,121
6914782202504,徐福记100夹心米果卷香烤牛排90G,20,122
6914782202498,徐福记100夹心米果卷玉米味90G,20,123
6914782202511,徐福记100夹心米果卷咸香之士90G,20,124
6914782116672,熊博士果汁大棒糖142g,12,125
6914782203594,徐福记沙琪玛香酥芝麻味469g,12,126
6914782082441,徐福记香酥芝麻味沙琪玛160g促销装,20,127
6940935201735,腾飞荣达蒜香花生228g,35,128
6940935200363,腾飞荣达咸味花生228g,35,129
